#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Demon's Crest (USA);Demon's Crest (USA);Super Nintendo Entertainment System;;1994;Capcom;Platform;;;;;0;;;;;
Der Langrisser (Japan) (Translated En);Der Langrisser (Japan) (Translated En);Nintendo Super Famicom;;1995;Masaya/NCS Corp;Strategy;;;;;0;;;;;
Dino City (USA);Dino City (USA);Super Nintendo Entertainment System;;1992;Irem;Platform;;;;;0;;;;;
Donkey Kong Country (USA);Donkey Kong Country (USA);Super Nintendo Entertainment System;;1994;Rare;Platform;;;;;0;;;;;
Donkey Kong Country 2 - Diddy's Kong Quest (USA);Donkey Kong Country 2 - Diddy's Kong Quest (USA);Super Nintendo Entertainment System;;1995;Rare;Platform;;;;;0;;;;;
Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA);Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA);Super Nintendo Entertainment System;;1996;Rare;Platform;;;;;0;;;;;
Do-Re-Mi Fantasy - Milon no Dokidoki Daibouken (Japan) (Translated En);Do-Re-Mi Fantasy - Milon no Dokidoki Daibouken (Japan) (Translated En);Nintendo Super Famicom;;1996;Hudson Soft;Platform;;;;;0;;;;;
Dragon Ball Z - Hyper Dimension (Japan) (Translated En);Dragon Ball Z - Hyper Dimension (Japan) (Translated En);Nintendo Super Famicom;;1996;TOSE;Fighter;;;;;0;;;;;
Dragon Ball Z - Super Butouden (France);Dragon Ball Z - Super Butouden (France);Super Nintendo Entertainment System;;1993;TOSE;Fighter;;;;;0;;;;;
Dragon Quest I & II (Japan) (Translated En);Dragon Quest I & II (Japan) (Translated En);Nintendo Super Famicom;;1993;ChunSoft/Enix America;Role-Playing;;;;;0;;;;;
Dragon Quest III - Soshite Densetsu e... (Japan) (Translated En);Dragon Quest III - Soshite Densetsu e... (Japan) (Translated En);Nintendo Super Famicom;;1996;Heart Beat/Enix America;Role-Playing;;;;;0;;;;;
Dragon Quest V - Tenkuu no Hanayome (Japan) (Translated En);Dragon Quest V - Tenkuu no Hanayome (Japan) (Translated En);Nintendo Super Famicom;;1992;ChunSoft/Enix America;Role-Playing;;;;;0;;;;;
Dragon Quest VI - Maboroshi no Daichi (Japan) (Translated En);Dragon Quest VI - Maboroshi no Daichi (Japan) (Translated En);Nintendo Super Famicom;;1995;Heart Beat/Enix America;Role-Playing;;;;;0;;;;;
Dragon View (USA);Dragon View (USA);Super Nintendo Entertainment System;;1994;Kemco;Role-Playing;;;;;0;;;;;
EarthBound (USA);EarthBound (USA);Super Nintendo Entertainment System;;1995;Nintendo;Role-Playing;;;;;0;;;;;
Earthworm Jim (USA);Earthworm Jim (USA);Super Nintendo Entertainment System;;1994;Playmates;Platform;;;;;0;;;;;
Earthworm Jim 2 (USA);Earthworm Jim 2 (USA);Super Nintendo Entertainment System;;1995;Playmates;Platform;;;;;0;;;;;
Shin Kidou Senki Gundam W - Endless Duel (Japan) [En by Aeon Genesis v1.0] (_Mobile Suit Gundam Wing - Endless Duel);
Equinox (USA);Equinox (USA);Super Nintendo Entertainment System;;1993;Epic Sony Record;Adventure;;;;;0;;;;;
E.V.O. - Search for Eden (USA);E.V.O. - Search for Eden (USA);Super Nintendo Entertainment System;;1993;Enix;Action;;;;;0;;;;;
Fatal Fury 2 (USA);Fatal Fury 2 (USA);Super Nintendo Entertainment System;;1994;Takuyo;Fighter;;;;;0;;;;;
Final Fantasy II (USA);Final Fantasy II (USA);Super Nintendo Entertainment System;;1991;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy III (USA);Final Fantasy III (USA);Super Nintendo Entertainment System;;1994;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy - Mystic Quest (USA);Final Fantasy - Mystic Quest (USA);Super Nintendo Entertainment System;;1992;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fight (USA);Final Fight (USA);Super Nintendo Entertainment System;;1991;Capcom;Fighter;;;;;0;;;;;
Final Fight 2 (USA);Final Fight 2 (USA);Super Nintendo Entertainment System;;1993;Capcom;Fighter;;;;;0;;;;;
Final Fight 3 (USA);Final Fight 3 (USA);Super Nintendo Entertainment System;;1995;Capcom;Fighter;;;;;0;;;;;
Final Fight Guy (USA);Final Fight Guy (USA);Super Nintendo Entertainment System;;1992;Capcom;Fighter;;;;;0;;;;;
Fire Emblem - Seisen no Keifu (Japan) [En by Dark Twilkitri Net v0.87d] (_Fire Emblem - Genealogy of the Holy War);
Fire Emblem - Monshou no Nazo (Japan) (Translated En);Fire Emblem - Monshou no Nazo (Japan) (Translated En);Nintendo Super Famicom;;1994;Intelligent Systems/Nintendo;Strategy;;;;;0;;;;;
Firemen, The (Europe);Firemen, The (Europe);Super Nintendo Entertainment System;;1994;Human Entertainment;Adventure;;;;;0;;;;;
Firepower 2000 (USA);Firepower 2000 (USA);Super Nintendo Entertainment System;;1992;Sun Soft;Action;;;;;0;;;;;
Flashback - The Quest for Identity (USA);Flashback - The Quest for Identity (USA);Super Nintendo Entertainment System;;1993;U.S. Gold;Platform;;;;;0;;;;;
Front Mission - Gun Hazard (Japan) (Translated En);Front Mission - Gun Hazard (Japan) (Translated En);Nintendo Super Famicom;;1996;Omiya Soft;Action;;;;;0;;;;;
F-Zero (USA);F-Zero (USA);Super Nintendo Entertainment System;;1991;Nintendo;Driving;;;;;0;;;;;
Ganbare! Daiku no Gen-san (Japan);Ganbare! Daiku no Gen-san (Japan);Nintendo Super Famicom;;1993;Irem;Platform;;;;;0;;;;;
Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan);Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan);Nintendo Super Famicom;;1993;Konami;Platform;;;;;0;;;;;
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan);Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan);Nintendo Super Famicom;;1994;Konami;Action;;;;;0;;;;;
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan);Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan);Nintendo Super Famicom;;1995;Konami;Platform;;;;;0;;;;;
