#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dragon Ball Z - Buyuu Retsuden (Japan);Dragon Ball Z - Buyuu Retsuden (Japan);Sega Mega Drive Japan;;1994;Bandai;Fighting;;;;;;;;;;
Dragon's Fury (USA, Europe);Dragon's Fury (USA, Europe);Sega Genesis;;1992;TechnoSoft;Pinball;;;;;0;;;;;
Dune - The Battle for Arrakis (USA);Dune - The Battle for Arrakis (USA);Sega Genesis;;1993;Westwood Studios;Strategy;;;;;0;;;;;
Dynamite Headdy (USA, Europe);Dynamite Headdy (USA, Europe);Sega Genesis;;1994;Treasure;Platform;;;;;0;;;;;
Dynamite Headdy (USA, Europe);Dynamite Headdy (USA, Europe);Sega Genesis;;1994;Treasure;Platform;;;;;0;;;;;
Ecco the Dolphin (USA, Europe);Ecco the Dolphin (USA, Europe);Sega Genesis;;1993;Novotrade International;Platform;;;;;0;;;;;
Ecco - The Tides of Time (USA);Ecco - The Tides of Time (USA);Sega Genesis;;1994;Novotrade International;Platform;;;;;0;;;;;
El. Viento (USA);El. Viento (USA);Sega Genesis;;1991;Wolf Team;Platform;;;;;0;;;;;
Elemental Master (USA);Elemental Master (USA);Sega Genesis;;1993;TechnoSoft;Shooter;;;;;0;;;;;
Eliminate Down (Japan);Eliminate Down (Japan);Sega Genesis;;1993;Aprinet;Shooter;;;;;0;;;;;
ESWAT - City Under Siege (USA, Europe);ESWAT - City Under Siege (USA, Europe);Sega Genesis;;1990;Sega;Platform;;;;;0;;;;;
Eternal Champions (USA);Eternal Champions (USA);Sega Genesis;;1993;Sega;Fighter;;;;;0;;;;;
Faery Tale Adventure, The (USA, Europe);Faery Tale Adventure, The (USA, Europe);Sega Genesis;;1991;New World Computing;Role-Playing;;;;;0;;;;;
FIFA Soccer 95 (USA, Europe);FIFA Soccer 95 (USA, Europe);Sega Genesis;;1994;Extended Play Productions;Sports/Soccer;;;;;0;;;;;
Fighting Masters (USA);Fighting Masters (USA);Sega Genesis;;1992;Almanic Corp.;Fighter;;;;;0;;;;;
Fire Shark (USA);Fire Shark (USA);Sega Genesis;;1993;Delphine Software International;Platform;;;;;0;;;;;
Flashback - The Quest for Identity (USA);Flashback - The Quest for Identity (USA);Sega Genesis;;1991;Sega;Platform;;;;;0;;;;;
Flink (Europe);Flink (Europe);Sega Genesis;;1993;Taito;Platform;;;;;0;;;;;
Forgotten Worlds (World);Forgotten Worlds (World);Sega Genesis;;1993;Domark;Driving;;;;;0;;;;;
Gaiares (Japan, USA);Gaiares (Japan, USA);Sega Genesis;;1990;Telenet Japan;Platform;;;;;0;;;;;
Gain Ground (World);Gain Ground (World);Sega Genesis;;1991;Sega;Platform;;;;;0;;;;;
Garfield - Caught in the Act (USA, Europe);Garfield - Caught in the Act (USA, Europe);Sega Genesis;;1995;Sega;Platform;;;;;0;;;;;
Gargoyles (USA);Gargoyles (USA);Sega Genesis;;1995;Buena Vista Interactive;Platform;;;;;0;;;;;
Gauntlet IV (USA, Europe);Gauntlet IV (USA, Europe);Sega Genesis;;1993;M2;Platform;;;;;0;;;;;
Gemfire (USA);Gemfire (USA);Sega Genesis;;1992;Koei;Strategy;;;;;0;;;;;
General Chaos (USA, Europe);General Chaos (USA, Europe);Sega Genesis;;1994;Game Refuge;Platform;;;;;0;;;;;
Ghostbusters (World);Ghostbusters (World);Sega Genesis;;1990;Sega;Platform;;;;;0;;;;;
Ghouls 'n Ghosts (USA, Europe);Ghouls 'n Ghosts (USA, Europe);Sega Genesis;;1989;AM8;Platform;;;;;0;;;;;
Advanced Busterhawk Gleylancer (Japan) (Translated En);Advanced Busterhawk Gleylancer (Japan) (Translated En);Sega Genesis;;1992;NCS;Shooter;;;;;0;;;;;
Golden Axe (World);Golden Axe (World);Sega Genesis;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
Golden Axe II (World);Golden Axe II (World);Sega Genesis;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
Golden Axe III (Japan);Golden Axe III (Japan);Sega Genesis;;1993;Sega;Beat-'Em-Up;;;;;0;;;;;
Granada (Japan, USA);Granada (Japan, USA);Sega Genesis;;1990;Wolf Team;Shooter;;;;;0;;;;;
Great Circus Mystery Starring Mickey & Minnie, The (USA);Great Circus Mystery Starring Mickey & Minnie, The (USA);Sega Genesis;;1994;Capcom;Platform;;;;;0;;;;;
Gunstar Heroes (USA);Gunstar Heroes (USA);Sega Genesis;;1993;Treasure;Shooter;;;;;0;;;;;
Wings of Wor (USA);Wings of Wor (USA);Sega Genesis;;1991;NCS;Shooter;;;;;0;;;;;
Haunting Starring Polterguy (USA, Europe);Haunting Starring Polterguy (USA, Europe);Sega Genesis;;1993;Electronic Arts;Platform;;;;;0;;;;;
Hellfire (USA);Hellfire (USA);Sega Genesis;;1991;Toaplan;Shooter;;;;;0;;;;;
Herzog Zwei (USA, Europe);Herzog Zwei (USA, Europe);Sega Genesis;;1990;TechnoSoft;Strategy;;;;;0;;;;;
James Pond 3 (USA, Europe);James Pond 3 (USA, Europe);Sega Genesis;;1993;Millenium Interactive;Platform;;;;;0;;;;;
John Madden Football (USA, Europe);John Madden Football (USA, Europe);Sega Genesis;;1991;Park Place Productions;Sports/Football;;;;;0;;;;;
Jungle Strike (USA, Europe);Jungle Strike (USA, Europe);Sega Genesis;;1993;High Score Productions;Platform;;;;;0;;;;;
Jurassic Park (USA);Jurassic Park (USA);Sega Genesis;;1994;Bluesky Innovations;Platform;;;;;0;;;;;
Kid Chameleon (USA, Europe);Kid Chameleon (USA, Europe);Sega Genesis;;1992;Sega;Platform;;;;;0;;;;;
King of the Monsters (USA);King of the Monsters (USA);Sega Genesis;;1993;SPS;Fighter;;;;;0;;;;;
King of the Monsters 2 (USA);King of the Monsters 2 (USA);Sega Genesis;;1994;SNK;Fighter;;;;;0;;;;;
King's Bounty - The Conqueror's Quest (USA, Europe);King's Bounty - The Conqueror's Quest (USA, Europe);Sega Genesis;;1991;New World Computing;Strategy;;;;;0;;;;;
Klax (USA, Europe);Klax (USA, Europe);Sega Genesis;;1990;Tengen;Puzzle;;;;;0;;;;;
Landstalker (USA);Landstalker (USA);Sega Genesis;;1992;Sega;Role-Playing;;;;;0;;;;;
Langrisser II (Japan) (Translated En);Langrisser II (Japan) (Translated En);Sega Genesis;;1994;NCS;Role-Playing;;;;;0;;;;;
Lemmings (Japan, USA);Lemmings (Japan, USA);Sega Genesis;;1992;SunSoft;Puzzle;;;;;0;;;;;
Light Crusader (USA);Light Crusader (USA);Sega Genesis;;1995;Treasure;Role-Playing;;;;;0;;;;;
Lightening Force - Quest for the Darkstar (USA);Lightening Force - Quest for the Darkstar (USA);Sega Genesis;;1992;TechnoSoft;Shooter;;;;;0;;;;;
Lion King, The (World);Lion King, The (World);Sega Genesis;;1994;Westwood Studios;Platform;;;;;0;;;;;
Lost Vikings, The (USA);Lost Vikings, The (USA);Sega Genesis;;1992;Silicon & Synapse;Puzzle;;;;;0;;;;;
Madden NFL 95 (USA, Europe);Madden NFL 95 (USA, Europe);Sega Genesis;;1994;High Score Productions;Sports/Football;;;;;0;;;;;
Marvel Land (USA);Marvel Land (USA);Sega Genesis;;1991;Namco;Platform;;;;;0;;;;;
Master of Monsters (USA);Master of Monsters (USA);Sega Genesis;;1991;OperaHouse;Strategy;;;;;0;;;;;
Mazin Saga - Mutant Fighter (USA);Mazin Saga - Mutant Fighter (USA);Sega Genesis;;1993;Almanic Corp.;Beat-'Em-Up;;;;;0;;;;;
McDonald's Treasure Land Adventure (USA);McDonald's Treasure Land Adventure (USA);Sega Genesis;;1993;Treasure;Platform;;;;;0;;;;;
Mega Bomberman (USA);Mega Bomberman (USA);Sega Genesis;;1994;Hudson;Platform;;;;;0;;;;;
Tyrants - Fight through Time (USA);Tyrants - Fight through Time (USA);Sega Genesis;;1996;Avalanche Software;Action;;;;;0;;;;;
Mega Man - The Wily Wars (Europe);Mega Man - The Wily Wars (Europe);Sega Genesis;;1994;Capcom;Platform;;;;;0;;;;;
Mega Turrican (USA);Mega Turrican (USA);Sega Genesis;;1994;Factor 5;Platform;;;;;0;;;;;
Mercs (World);Mercs (World);Sega Genesis;;1991;Sega;Action;;;;;0;;;;;
Michael Jackson's Moonwalker (World);Michael Jackson's Moonwalker (World);Sega Genesis;;1990;Ultimate Productions;Platform;;;;;0;;;;;
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA);Mickey Mania - The Timeless Adventures of Mickey Mouse (USA);Sega Genesis;;1994;Traveller's Tales;Platform;;;;;0;;;;;
Micro Machines (USA, Europe);Micro Machines (USA, Europe);Sega Genesis;;1993;Codemasters;Driving;;;;;0;;;;;
Micro Machines Turbo Tournament 96 (Europe);Micro Machines Turbo Tournament 96 (Europe);Sega Genesis;;1995;Supersonic Software;Driving;;;;;0;;;;;
Mortal Kombat 3 (USA);Mortal Kombat 3 (USA);Sega Genesis;;1995;Sculptured Software;Fighter;;;;;0;;;;;
Ms. Pac-Man (USA, Europe);Ms. Pac-Man (USA, Europe);Sega Genesis;;1991;Innerprise Software;Platform;;;;;0;;;;;
MUSHA - Metallic Uniframe Super Hybrid Armor (USA);MUSHA - Metallic Uniframe Super Hybrid Armor (USA);Sega Genesis;;1990;Compile;Shooter;;;;;0;;;;;
Mutant League Football (USA, Europe);Mutant League Football (USA, Europe);Sega Genesis;;1993;Electronic Arts;Sports/Football;;;;;0;;;;;
Mutant League Hockey (USA, Europe);Mutant League Hockey (USA, Europe);Sega Genesis;;1994;Electronic Arts;Sports/Hockey;;;;;0;;;;;
NBA Jam Tournament Edition (World);NBA Jam Tournament Edition (World);Sega Genesis;;1995;Iguana Entertainment;Sports/Basketball;;;;;0;;;;;
NBA Live 95 (USA, Europe);NBA Live 95 (USA, Europe);Sega Genesis;;1994;Hitmen Productions;Sports/Basketball;;;;;0;;;;;
NFL Football '94 Starring Joe Montana (USA);NFL Football '94 Starring Joe Montana (USA);Sega Genesis;;1993;Bluesky Innovations;Sports/Football;;;;;0;;;;;
NHL '94 (USA, Europe);NHL '94 (USA, Europe);Sega Genesis;;1993;High Score Productions;Sports/Hockey;;;;;0;;;;;
NHL Hockey (USA);NHL Hockey (USA);Sega Genesis;;1991;Park Place Productions;Sports/Hockey;;;;;0;;;;;
Outlander (USA);Outlander (USA);Sega Genesis;;1992;Mindscape;Platform;;;;;0;;;;;
OutRun (USA, Europe);OutRun (USA, Europe);Sega Genesis;;1991;Sanritsu;Driving;;;;;0;;;;;
OutRun 2019 (USA);OutRun 2019 (USA);Sega Genesis;;1993;Sims;Driving;;;;;0;;;;;
OutRunners (USA);OutRunners (USA);Sega Genesis;;1994;Sega;Driving;;;;;0;;;;;
Pac-Attack (USA);Pac-Attack (USA);Sega Genesis;;1993;Koei;Strategy;;;;;0;;;;;
Panorama Cotton (Japan);Panorama Cotton (Japan);Sega Mega Drive Japan;;1994;Sunsoft;Shooter;1;;;;;;;;;
Phantasy Star II (USA, Europe);Phantasy Star II (USA, Europe);Sega Genesis;;1989;Sega;Role-Playing;;;;;0;;;;;
