#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
M.A.R.C. (Europe);M.A.R.C. (Europe);Oric 1;;;;;;;;;;;;;;
Manic Miner (Europe);Manic Miner (Europe);Oric 1;;;;;;;;;;;;;;
Mined Out (Europe);Mined Out (Europe);Oric 1;;;;;;;;;;;;;;
Miner (Europe);Miner (Europe);Oric 1;;;;;;;;;;;;;;
Mines Of Moria, The (Europe);Mines Of Moria, The (Europe);Oric 1;;;;;;;;;;;;;;
Mission Impossible (Europe);Mission Impossible (Europe);Oric 1;;;;;;;;;;;;;;
Moon Buggy (Europe);Moon Buggy (Europe);Oric 1;;;;;;;;;;;;;;
Mr Wimpy (Europe);Mr Wimpy (Europe);Oric 1;;;;;;;;;;;;;;
Mushroom Mania (Europe);Mushroom Mania (Europe);Oric 1;;;;;;;;;;;;;;
Night Fight (Europe);Night Fight (Europe);Oric 1;;;;;;;;;;;;;;
Night Rider (Europe);Night Rider (Europe);Oric 1;;;;;;;;;;;;;;
Nowotnik Puzzle (Europe);Nowotnik Puzzle (Europe);Oric 1;;;;;;;;;;;;;;
Oric Bandit (Europe);Oric Bandit (Europe);Oric 1;;;;;;;;;;;;;;
Oric Flight (Europe);Oric Flight (Europe);Oric 1;;;;;;;;;;;;;;
Oric Munch (Europe);Oric Munch (Europe);Oric 1;;;;;;;;;;;;;;
Oric Parchen Kirchen (Europe);Oric Parchen Kirchen (Europe);Oric 1;;;;;;;;;;;;;;
Oric Worm (Europe);Oric Worm (Europe);Oric 1;;;;;;;;;;;;;;
Othello (Europe);Othello (Europe);Oric 1;;;;;;;;;;;;;;
Painter (Europe);Painter (Europe);Oric 1;;;;;;;;;;;;;;
Parachute (Cascade Games Ltd) (Europe) (Atmos);Parachute (Cascade Games Ltd) (Europe) (Atmos);Oric 1;;;;;;;;;;;;;;
Paras (Europe);Paras (Europe);Oric 1;;;;;;;;;;;;;;
Pasta Blasta (Europe);Pasta Blasta (Europe);Oric 1;;;;;;;;;;;;;;
Playground 21 (Europe);Playground 21 (Europe);Oric 1;;;;;;;;;;;;;;
Plouf (Europe) (Unl);Plouf (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Pontoon (Coconut Computer Co Ltd) (Europe);Pontoon (Coconut Computer Co Ltd) (Europe);Oric 1;;;;;;;;;;;;;;
Poopy (Europe);Poopy (Europe);Oric 1;;;;;;;;;;;;;;
Probe 3 (Europe);Probe 3 (Europe);Oric 1;;;;;;;;;;;;;;
Pulsoids;Pulsoids;Oric 1;;;;;;;;;;;;;;
Quest (Europe);Quest (Europe);Oric 1;;;;;;;;;;;;;;
Quintessential;Quintessential;Oric 1;;;;;;;;;;;;;;
Rat Splat! (Europe);Rat Splat! (Europe);Oric 1;;;;;;;;;;;;;;
Road Frog (Europe);Road Frog (Europe);Oric 1;;;;;;;;;;;;;;
Rock 'N Roll (Europe);Rock 'N Roll (Europe);Oric 1;;;;;;;;;;;;;;
Scuba Dive (Europe);Scuba Dive (Europe);Oric 1;;;;;;;;;;;;;;
Show-Jumping (Europe);Show-Jumping (Europe);Oric 1;;;;;;;;;;;;;;
Skramble (Europe);Skramble (Europe);Oric 1;;;;;;;;;;;;;;
Snake Venom (Europe);Snake Venom (Europe);Oric 1;;;;;;;;;;;;;;
Spooky Mansion (Europe);Spooky Mansion (Europe);Oric 1;;;;;;;;;;;;;;
Star Trek (Europe) (Atmos);Star Trek (Europe) (Atmos);Oric 1;;;;;;;;;;;;;;
Starfighter (Europe);Starfighter (Europe);Oric 1;;;;;;;;;;;;;;
Stock Market (Europe);Stock Market (Europe);Oric 1;;;;;;;;;;;;;;
Styx (Europe);Styx (Europe);Oric 1;;;;;;;;;;;;;;
Super Fruit (Europe);Super Fruit (Europe);Oric 1;;;;;;;;;;;;;;
Super Meteors (Europe);Super Meteors (Europe);Oric 1;;;;;;;;;;;;;;
Super-Maze (Europe) (Unl);Super-Maze (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Tracer Racer (Europe);Tracer Racer (Europe);Oric 1;;;;;;;;;;;;;;
