#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Attack of the Mutant Camels (Llamasoft) (Europe);Attack of the Mutant Camels (Llamasoft) (Europe);Atari 8-Bit;;1984;Llamasoft;Shoot-'Em-Up;;;;;0;;;;;
Attank! (USA);Attank! (USA);Atari 8-Bit;;1981;APX;Shoot-'Em-Up;;;;;0;;;;;
Aurum (Poland);Aurum (Poland);Atari 8-Bit;;1993;L.K. Avalon;Adventure;;;;;0;;;;;
AutoDuel (USA) (Disk 1 Side A);AutoDuel (USA) (Disk 1 Side A);Atari 8-Bit;;1987;Origin Systems;Role-Playing;;;;;0;;;;;
AutoDuel (USA) (Disk 1 Side B);AutoDuel (USA) (Disk 1 Side B);Atari 8-Bit;;1987;Origin Systems;Role-Playing;;;;;0;;;;;
AutoDuel (USA) (Disk 2 Side A);AutoDuel (USA) (Disk 2 Side A);Atari 8-Bit;;1987;Origin Systems;Role-Playing;;;;;0;;;;;
AutoDuel (USA) (Disk 2 Side B);AutoDuel (USA) (Disk 2 Side B);Atari 8-Bit;;1987;Origin Systems;Role-Playing;;;;;0;;;;;
Avalanche (USA);Avalanche (USA);Atari 8-Bit;;1982;Atari;Platform;;;;;0;;;;;
Axilox (Poland);Axilox (Poland);Atari 8-Bit;;1993;Mirage;Miscellaneous;;;;;0;;;;;
Axis Assassin (USA);Axis Assassin (USA);Atari 8-Bit;;1983;Electronic Arts;Shoot-'Em-Up;;;;;0;;;;;
Aztec (USA);Aztec (USA);Atari 8-Bit;;1982;Datamost;Adventure;;;;;0;;;;;
Aztec Challenge (1982) (USA);Aztec Challenge (1982) (USA);Atari 8-Bit;;1982;Cosmi;Platform;;;;;0;;;;;
Aztec Challenge (1983) (USA);Aztec Challenge (1983) (USA);Atari 8-Bit;;1983;Cosmi;Platform;;;;;0;;;;;
Aztek's Revenge (Germany);Aztek's Revenge (Germany);Atari 8-Bit;;1988;Zong Software;Platform;;;;;0;;;;;
B-1 Nuclear Bomber (USA);B-1 Nuclear Bomber (USA);Atari 8-Bit;;1981;Powersoft;Simulation;;;;;0;;;;;
BC's Quest for Tires (USA);BC's Quest for Tires (USA);Atari 8-Bit;;1983;Sierra On-Line;Action;;;;;0;;;;;
BMX Simulator (Europe);BMX Simulator (Europe);Atari 8-Bit;;1986;Code Masters;Sports/Biking;;;;;0;;;;;
Baa, Baa, Black Sheep (Europe);Baa, Baa, Black Sheep (Europe);Atari 8-Bit;;1981;Thorn EMI;Puzzle;;;;;0;;;;;
Babel (USA);Babel (USA);Atari 8-Bit;;1981;APX;Strategy;;;;;0;;;;;
Backgammon (Dynacomp) (USA);Backgammon (Dynacomp) (USA);Atari 8-Bit;;19xx;Dynacomp;Board Games;;;;;0;;;;;
Backgammon (TK Computer Products) (USA);Backgammon (TK Computer Products) (USA);Atari 8-Bit;;19xx;TK Computer Products;Board Games;;;;;0;;;;;
Bacterion! (USA) (Unl);Bacterion! (USA) (Unl);Atari 8-Bit;;1984;ANALOG Computing;Shoot-'Em-Up;;;;;0;;;;;
Bagels Supreme (USA);Bagels Supreme (USA);Atari 8-Bit;;19xx;JMH Software;Puzzle;;;;;0;;;;;
Baja Buggies (USA);Baja Buggies (USA);Atari 8-Bit;;1982;Gamestar;Driving;;;;;0;;;;;
Ball-Cracker (Germany);Ball-Cracker (Germany);Atari 8-Bit;;1991;Secret Games;Breakout;;;;;0;;;;;
Ballblazer (USA);Ballblazer (USA);Atari 8-Bit;;1985;Epyx;Sports/Futuristic;;;;;0;;;;;
Ballistic Interceptor (USA);Ballistic Interceptor (USA);Atari 8-Bit;;1983;General Masters;Shoot-'Em-Up;;;;;0;;;;;
