#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
sarge;Sarge;MAME Mame4all;;1985;Bally Midway;Shooter / Field;2P sim;;;;0;;;;;
sasuke;Sasuke vs. Commander;MAME Mame4all;;1980;SNK;Shooter / 3rd Person;2P alt;;;;0;;;;;
satansat;Satan of Saturn;MAME Mame4all;;1981;SNK;Shooter / Gallery;2P alt;;;;0;;;;;
shollow;Satan's Hollow (set 1);MAME Mame4all;;1981;Bally Midway;Shooter / Gallery;2P alt;;;;0;;;;;
shollow2;Satan's Hollow (set 2);MAME Mame4all;shollow;1981;Bally Midway;Shooter / Gallery;2P alt;;;;0;;shollow;;;
slammast;Saturday Night Slam Masters (World);MAME Mame4all;;1993;Capcom;Sports / Wrestling;4P sim;;;;0;;;;;
saturn;Saturn;MAME Mame4all;;1983;[Zilec] Jaleco;Home Systems / Game Console;Non-arcade;;;;0;;;;;
sauro;Sauro;MAME Mame4all;;1987;Tecfri;Shooter / Flying Horizontal;2P alt;;;;0;;;;;
savgbees;Savage Bees;MAME Mame4all;exedexes;1985;Capcom (Memetron license);Shooter / Flying Vertical;2P sim;;;;0;;exedexes;;;
savagere;Savage Reign / Fu'un Mokushiroku - kakutou sousei;MAME Mame4all;;1995;SNK;Fighter / Versus;2P sim;;;;0;;neogeo;;;
scion;Scion;MAME Mame4all;;1984;Seibu Denshi;Shooter / Flying Vertical;2P alt;;;;0;;;;;
scionc;Scion (Cinematronics);MAME Mame4all;scion;1984;Seibu Denshi [Cinematronics license];Shooter / Flying Vertical;2P alt;;;;0;;scion;;;
scramble;Scramble;MAME Mame4all;;1981;Konami;Shooter / Flying Horizontal;2P alt;;;;0;;;;;
scrambls;Scramble (Stern);MAME Mame4all;scramble;1981;[Konami] (Stern license);Shooter / Flying Horizontal;2P alt;;;;0;;scramble;;;
scramblb;Scramble (bootleg on Galaxian hardware);MAME Mame4all;scramble;1981;bootleg;Shooter / Flying Horizontal;2P alt;;;;0;;scramble;;;
scregg;Scrambled Egg;MAME Mame4all;;1983;Technos;Maze;2P alt;;;;0;;;;;
screwloo;Screw Loose (prototype);MAME Mame4all;;1983;Mylstar;Shooter / Field;2P alt;;;;0;;;;;
sfposeid;Sea Fighter Poseidon;MAME Mame4all;;1984;Taito Corporation;Shooter / Misc. Horizontal;2P alt;;;;0;;;;;
seawolf;Sea Wolf;MAME Mame4all;;1976;Midway;Shooter / Gallery;1P;;;;0;;;;;
seawolf2;Sea Wolf II;MAME Mame4all;;1978;Midway;Shooter / Gallery;2P sim;;;;0;;;;;
secretag;Secret Agent (World);MAME Mame4all;slyspy;1989;Data East Corporation;Platform / Shooter Scrolling;2P alt;;;;0;;slyspy;;;
sectionz;Section Z (set 1);MAME Mame4all;;1985;Capcom;Shooter / Flying;2P alt;;;;0;;;;;
sctionza;Section Z (set 2);MAME Mame4all;sectionz;1985;Capcom;Shooter / Flying;2P alt;;;;0;;sectionz;;;
