#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Black Onyx II, The - Search for the Fire Crystal (Japan);Black Onyx II, The - Search for the Fire Crystal (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Black Onyx, The (Japan);Black Onyx, The (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Blagger MSX (Europe);Blagger MSX (Europe);Microsoft MSX2+;;;;;;;;;;;;;;
Block Hole (Korea);Block Hole (Korea);Microsoft MSX2+;;;;;;;;;;;;;;
Blockade Runner (Japan);Blockade Runner (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Boggy '84 (Japan);Boggy '84 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bokosuka Wars (Japan);Bokosuka Wars (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bomber King (Japan);Bomber King (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bomber Man (Japan);Bomber Man (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bomber Man Special (Japan);Bomber Man Special (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Boogie Woogi Jungle (Japan);Boogie Woogi Jungle (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Boomerang (Japan);Boomerang (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Borfesu (Japan);Borfesu (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bosconian (Japan);Bosconian (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bouken Roman - Dota (Japan);Bouken Roman - Dota (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Boulder Dash (Japan);Boulder Dash (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Brain, The (Japan);Brain, The (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Break In (Japan);Break In (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Break Out (Japan);Break Out (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Bruce Lee (Japan);Bruce Lee (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Burgertime (Japan);Burgertime (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Buru To Marty Kikiippatsu - Inspecteur Z (Japan);Buru To Marty Kikiippatsu - Inspecteur Z (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Butam Pants (Japan);Butam Pants (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
C-So! (Japan);C-So! (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cabbage Patch Kids (Japan);Cabbage Patch Kids (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Candoo Ninja (Japan);Candoo Ninja (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cannon Ball (Japan);Cannon Ball (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cannon Fighter (Japan);Cannon Fighter (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Captain Chef (Japan);Captain Chef (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Captain Cosmo (Japan);Captain Cosmo (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Car Fighter (Japan);Car Fighter (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Car Jamboree (Japan);Car Jamboree (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Car-Race (Japan);Car-Race (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Casio Daishogai Keiba (Japan);Casio Daishogai Keiba (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Casio Pachinko-U.F.O. (Japan);Casio Pachinko-U.F.O. (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Casio Ski Command (Japan);Casio Ski Command (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Casio Worldopen (Japan);Casio Worldopen (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Castle Excellent (Japan);Castle Excellent (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Castle, The (Japan);Castle, The (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Chack'n Pop (Japan);Chack'n Pop (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Challenge Derby (Japan);Challenge Derby (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Boulder Dash (Japan);Champion Boulder Dash (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Boxing (Japan);Champion Boxing (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Ice Hockey (Japan);Champion Ice Hockey (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Kendou (Japan);Champion Kendou (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Pro Wrestling (Japan);Champion Pro Wrestling (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Champion Soccer (Japan);Champion Soccer (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Championship Lode Runner (Japan);Championship Lode Runner (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Checkers in Tantan Tanuki (Japan);Checkers in Tantan Tanuki (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cheese (Japan);Cheese (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Choplifter (Japan);Choplifter (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Choro Q (Japan);Choro Q (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Chugaku Hisshu Eibunpo 1 (Japan);Chugaku Hisshu Eibunpo 1 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Circus Charlie (Japan);Circus Charlie (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
City Connection (Japan);City Connection (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Coaster Race (Japan);Coaster Race (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Color Ball (Japan);Color Ball (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Columns (Japan);Columns (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Come On! Picot (Japan);Come On! Picot (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Comet Tail (Japan);Comet Tail (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Comic Bakery (Japan);Comic Bakery (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Computer Billiards (Japan);Computer Billiards (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Computer Chess (Japan);Computer Chess (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Computer Nyuumon - Computer Lessons (Japan);Computer Nyuumon - Computer Lessons (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Computer Othello (Japan);Computer Othello (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Computer Pachinko (Japan);Computer Pachinko (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Con-Dori (Japan);Con-Dori (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cosmo-Explorer (Japan);Cosmo-Explorer (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Courageous Perseus (Japan);Courageous Perseus (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Craze (Japan);Craze (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Crazy Bullet (Japan);Crazy Bullet (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Crazy Train (Japan);Crazy Train (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Cross Blaim (Japan);Cross Blaim (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Crusader (Japan);Crusader (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
D-Day (Japan);D-Day (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
D.C. Connection (Japan)(Disk 1 of 3);D.C. Connection (Japan)(Disk 1 of 3);Microsoft MSX2+;;1989;Riverhill Soft Inc;Adventure;;;;;0;;;;;
D.C. Connection (Japan)(Disk 2 of 3);D.C. Connection (Japan)(Disk 2 of 3);Microsoft MSX2+;;1989;Riverhill Soft Inc;Adventure;;;;;0;;;;;
D.C. Connection (Japan)(Disk 3 of 3);D.C. Connection (Japan)(Disk 3 of 3);Microsoft MSX2+;;1989;Riverhill Soft Inc;Adventure;;;;;0;;;;;
DIX (Netherlands);DIX (Netherlands);Microsoft MSX2+;;1992;MSX-Engine;Puzzle;;;;;0;;;;;
Daidasso (Japan);Daidasso (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Daiva Story 4 - Asura's Bloodfeud (Japan);Daiva Story 4 - Asura's Bloodfeud (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dam Busters, The (Japan);Dam Busters, The (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Danger X4 (Japan);Danger X4 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
David II (Japan);David II (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dawn Patrol (Japan);Dawn Patrol (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Decathlon (Japan);Decathlon (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Deep Dungeon (Japan);Deep Dungeon (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Deep Dungeon II (Japan);Deep Dungeon II (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Demon Crystal, The (Japan);Demon Crystal, The (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Demonia I (Europe);Demonia I (Europe);Microsoft MSX2+;;;;;;;;;;;;;;
Devil's Heaven (Japan);Devil's Heaven (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dig Dug (Japan);Dig Dug (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Digital Devil Monogatari Megami Tensei (Japan);Digital Devil Monogatari Megami Tensei (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dip Dip (Spain);Dip Dip (Spain);Microsoft MSX2+;;;;;;;;;;;;;;
Doki Doki Penguin Land (Japan);Doki Doki Penguin Land (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Doordoor (Japan);Doordoor (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dorodon (Japan);Dorodon (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Double Dragon (Korea) (Unl);Double Dragon (Korea) (Unl);Microsoft MSX2+;;;;;;;;;;;;;;
Dr. Copy (Japan);Dr. Copy (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Attack (Japan);Dragon Attack (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Quest (Japan);Dragon Quest (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Quest II (Japan);Dragon Quest II (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Slayer (Japan);Dragon Slayer (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Slayer II - Xanadu (Japan);Dragon Slayer II - Xanadu (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Slayer IV - Drasle Family (Japan);Dragon Slayer IV - Drasle Family (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dragon Slayer Jr. - Romancia (Japan);Dragon Slayer Jr. - Romancia (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Drainer (Japan);Drainer (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Druaga no Tou (Japan);Druaga no Tou (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dungeon Hunter (Japan);Dungeon Hunter (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dungeon Master (Japan);Dungeon Master (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dunk Shot (Japan);Dunk Shot (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Dynamite Bowl (Japan);Dynamite Bowl (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Eagle Fighter (Japan);Eagle Fighter (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Eggerland Mystery (Japan);Eggerland Mystery (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Elevator Action (Japan);Elevator Action (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Erika (Japan);Erika (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Exa Innova (Japan);Exa Innova (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Exchanger (Japan);Exchanger (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Exerion (Japan);Exerion (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Exerion II - Zorni (Japan);Exerion II - Zorni (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
