#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
galaga3m;Galaga 3 (set 5);Final Burn Alpha;gaplus;1984;Namco;Shooter / Gallery;2P alt;;;;0;;gaplus;;;
neogalag;Galaga Demo (set 1) [Homebrew];Final Burn Alpha;;2013;Cristiano Bei/www.iocerom.com;Multi-cart Board;BIOS;;;;0;;neogeo;;;
neogalaga;Galaga Demo (set 2) [Homebrew];Final Burn Alpha;neogalag;2013;Cristiano Bei/www.iocerom.com;;;;;;0;;neogalag;;;
galaxiani;Galaxian (Irem);Final Burn Alpha;galaxian;1979;bootleg? (Irem);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxianm;Galaxian (Midway set 1);Final Burn Alpha;galaxian;1979;Namco (Midway license);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxianmo;Galaxian (Midway set 2);Final Burn Alpha;galaxian;1979;Namco (Midway license);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxian;Galaxian (Namco set 1);Final Burn Alpha;;1979;Namco;Shooter / Gallery;2P alt;;;;0;;;;;
galaxiana;Galaxian (Namco set 2);Final Burn Alpha;galaxian;1979;Namco;Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxrf;Galaxian (Recreativos Franco S.A. Spanish bootleg);Final Burn Alpha;galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxiant;Galaxian (Taito);Final Burn Alpha;galaxian;1979;Namco (Taito license);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxbsf;Galaxian (bootleg, set 1) [Bootleg];Final Burn Alpha;galaxian;1979;bootleg;Shooter / Gallery;2P sim;;;;0;;galaxian;;;
galaxianbl;Galaxian (bootleg, set 2) [Bootleg];Final Burn Alpha;galaxian;1979;bootleg;Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxrcgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Covadonga Spanish bootleg);Final Burn Alpha;galaxian;1980;bootleg (Recreativos Covadonga);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);Final Burn Alpha;galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galap4;Galaxian Part 4 (hack) [Hack];Final Burn Alpha;galaxian;1979;G.G.I;Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galapx;Galaxian Part X (moonaln hack) [Hack];Final Burn Alpha;galaxian;1979;hack;Shooter / Gallery;2P alt;;;;0;;galaxian;;;
tst_galx;Galaxian Test ROM [Prototype];Final Burn Alpha;galaxian;1979;Test ROM;Utilities / Test;1P;;;;0;;galaxian;;;
galturbo;Galaxian Turbo (superg hack) [Hack];Final Burn Alpha;galaxian;1979;hack;Shooter / Gallery;2P alt;;;;0;;galaxian;;;
galemp;Galaxy Empire (bootleg?) [Bootleg];Final Burn Alpha;uniwars;1980;bootleg (Taito do Brasil);Shooter / Gallery;2P alt;;;;0;;uniwars;;;
galaxyfg;Galaxy Fight - Universal Warriors;Final Burn Alpha;;1995;Sunsoft;Fighter / Versus;2P sim;;;;0;;neogeo;;;
gforce2;Galaxy Force 2;Final Burn Alpha;;1988;Sega;Shooter / Flying (chase view);1P;;;;0;;;;;
gforce2j;Galaxy Force 2 (Japan);Final Burn Alpha;gforce2;1988;Sega;Shooter / Flying (chase view);1P;;;;0;;gforce2;;;
gforce2ja;Galaxy Force 2 (Japan, Rev A);Final Burn Alpha;gforce2;1988;Sega;Shooter / Flying (chase view);1P;;;;0;;gforce2;;;
gforce2sd;Galaxy Force 2 (Super Deluxe unit);Final Burn Alpha;gforce2;1988;Sega;Shooter / Flying (chase view);1P;;;;0;;gforce2;;;
galaxygn;Galaxy Gunners [No Sound.];Final Burn Alpha;;1989;Electronic Devices Italy;Shooter / Flying Vertical;2P sim;;;;0;;;;;
galwars2;Galaxy Wars II (Defender bootleg) [Bootleg];Final Burn Alpha;defender;1981;bootleg (Sonic);Shooter / Flying Horizontal;2P alt;;;;0;;defender;;;
gallag;Gallag [Bootleg];Final Burn Alpha;galaga;1981;bootleg;Shooter / Gallery;2P alt;;;;0;;galaga;;;
gallop;Gallop - Armed police Unit (Japan);Final Burn Alpha;cosmccop;1991;Irem;Shooter / Flying Horizontal;2P alt;;;;0;;cosmccop;;;
galmedes;Galmedes (Japan);Final Burn Alpha;;1992;Visco;Shooter / Flying Vertical;2P sim;;;;0;;;;;
galhustl;Gals Hustler;Final Burn Alpha;pgalvip;1997;ACE International;Sports / Pool * Mature *;2P sim;;;;0;;pgalvip;;;
galpanic;Gals Panic (Unprotected);Final Burn Alpha;;1990;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;;;;
galpani4;Gals Panic 4 (Japan);Final Burn Alpha;;1996;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;skns;;;
galpani4k;Gals Panic 4 (Korea);Final Burn Alpha;galpani4;1996;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpani4;;;
galpanidx;Gals Panic DX (Asia);Final Burn Alpha;galpani4;2001;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpani4;;;
galpanis;Gals Panic S - Extra Edition (Europe);Final Burn Alpha;;1997;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;skns;;;
galpanisj;Gals Panic S - Extra Edition (Japan);Final Burn Alpha;galpanis;1997;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpanis;;;
galpanisk;Gals Panic S - Extra Edition (Korea);Final Burn Alpha;galpanis;1997;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpanis;;;
galpans2a;Gals Panic S2 (Asia);Final Burn Alpha;galpans2;1999;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpans2;;;
galpans2;Gals Panic S2 (Europe);Final Burn Alpha;;1999;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;skns;;;
galpans2j;Gals Panic S2 (Japan);Final Burn Alpha;galpans2;1999;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpans2;;;
galpans3;Gals Panic S3 (Japan);Final Burn Alpha;;2002;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;skns;;;
galpansu;Gals Panic SU (Korea);Final Burn Alpha;galpans2;1999;Kaneko;Puzzle / Outline * Mature *;2P sim;;;;0;;galpans2;;;
galspnbl;Gals Pinball;Final Burn Alpha;;1996;Comad;Pinball * Mature *;1P;;;;0;;;;;
usg182;Games V18.2;Final Burn Alpha;usgames;1989;U.S. Games;Multiplay / Compilation * Mature *;4P alt;;;;0;;usgames;;;
usg185;Games V18.5;Final Burn Alpha;usgames;1990;U.S. Games;Multiplay / Compilation * Mature *;4P alt;;;;0;;usgames;;;
usg187c;Games V18.7C;Final Burn Alpha;usgames;1991;U.S. Games;Multiplay / Compilation * Mature *;4P alt;;;;0;;usgames;;;
usgames;Games V25.4X;Final Burn Alpha;;1992;U.S. Games;Multiplay / Compilation * Mature *;4P alt;;;;0;;;;;
ginkun;Ganbare Ginkun;Final Burn Alpha;;1995;Tecmo;Multiplay / Mini-Games;2P sim;;;;0;;;;;
