#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Adventures of Cookie & Cream, The (USA);Adventures of Cookie & Cream, The (USA);Sony PlayStation 2;;2001;From Software;Puzzle;;;;;0;;;;;
Adventures of Darwin, The (USA);Adventures of Darwin, The (USA);Sony PlayStation 2;;2007;Vingt - et - un Systems;Strategy;;;;;0;;;;;
Adventures of Jimmy Neutron Boy Genius - Attack of the Twonkies, The (USA);Adventures of Jimmy Neutron Boy Genius - Attack of the Twonkies, The (USA);Sony PlayStation 2;;2004;THQ;Adventure;;;;;0;;;;;
Aeon Flux (USA);Aeon Flux (USA);Sony PlayStation 2;;2005;Terminal Reality;Action;;;;;0;;;;;
Aero Elite - Combat Academy (USA);Aero Elite - Combat Academy (USA);Sony PlayStation 2;;2003;Sega AM2;Simulation;;;;;0;;;;;
Agassi Tennis Generation (USA);Agassi Tennis Generation (USA);Sony PlayStation 2;;2003;Aqua Pacific;Sports/Tennis;;;;;0;;;;;
Age of Empires II - The Age of Kings (Europe);Age of Empires II - The Age of Kings (Europe);Sony PlayStation 2;;2001;Ensemble Studios;Strategy;;;;;0;;;;;
Agent Hugo (Europe);Agent Hugo (Europe);Sony PlayStation 2;;2005;ITE Media;Platform;;;;;0;;;;;
Agent Hugo - Hula Holiday (Europe);Agent Hugo - Hula Holiday (Europe);Sony PlayStation 2;;2008;Attractive Games;Platform;;;;;0;;;;;
Agent Hugo - Lemoon Twist (Europe);Agent Hugo - Lemoon Twist (Europe);Sony PlayStation 2;;2007;Coyote Console;Platform;;;;;0;;;;;
Agent Hugo - RoboRumble (Europe);Agent Hugo - RoboRumble (Europe);Sony PlayStation 2;;2006;ITE Media;Platform;;;;;0;;;;;
Aggressive Inline (USA);Aggressive Inline (USA);Sony PlayStation 2;;2002;Z - Axis, Ltd.;Sports/Skateboarding;;;;;0;;;;;
Air Raid 3 (Europe);Air Raid 3 (Europe);Sony PlayStation 2;;2004;Phoenix Games;Shoot-'Em-Up;;;;;0;;;;;
Air Ranger - Rescue Helicopter (Europe);Air Ranger - Rescue Helicopter (Europe);Sony PlayStation 2;;2002;Garden;Simulation;;;;;0;;;;;
AirBlade (USA);AirBlade (USA);Sony PlayStation 2;;2002;Criterion Games;Sports/Futuristic;;;;;0;;;;;
AirForce Delta Strike (USA);AirForce Delta Strike (USA);Sony PlayStation 2;;2004;KCE Studios;Simulation;;;;;0;;;;;
Airborne Troops - Countdown to D-Day (USA);Airborne Troops - Countdown to D-Day (USA);Sony PlayStation 2;;2005;WideScreen Games;Shooter;;;;;0;;;;;
Akira Psycho Ball (Europe);Akira Psycho Ball (Europe);Sony PlayStation 2;;2002;Kaze;Pinball;;;;;0;;;;;
Alan Hansen's Sports Challenge (Europe);Alan Hansen's Sports Challenge (Europe);Sony PlayStation 2;;2007;The Code Monkeys;Quiz;;;;;0;;;;;
Alarm for Cobra 11 (Europe);Alarm for Cobra 11 (Europe);Sony PlayStation 2;;2003;Davilex;Driving;;;;;0;;;;;
Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe);Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe);Sony PlayStation 2;;2005;Davilex;Driving;;;;;0;;;;;
Alarm fur Cobra 11 - Vol. 2 (Europe);Alarm fur Cobra 11 - Vol. 2 (Europe);Sony PlayStation 2;;2004;Davilex;Driving;;;;;0;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PlayStation 2;;2001;Anco;Sports/Soccer;;;;;0;;;;;
Alfa Romeo Racing Italiano (USA);Alfa Romeo Racing Italiano (USA);Sony PlayStation 2;;2006;Milestone S.r.l;Driving;;;;;0;;;;;
Alias (USA);Alias (USA);Sony PlayStation 2;;2004;Acclaim Studios Cheltenham;Action;;;;;0;;;;;
Alien Hominid (USA);Alien Hominid (USA);Sony PlayStation 2;;2004;The Behemoth;Shoot-'Em-Up;;;;;0;;;;;
Aliens Versus Predator - Extinction (USA);Aliens Versus Predator - Extinction (USA);Sony PlayStation 2;;2003;Zono Inc.;Strategy;;;;;0;;;;;
Aliens in the Attic (USA);Aliens in the Attic (USA);Sony PlayStation 2;;2009;Revistronic;Action;;;;;0;;;;;
All Star Fighters (Europe);All Star Fighters (Europe);Sony PlayStation 2;;2007;D3;Beat-'Em-Up;;;;;0;;;;;
All-Star Baseball 2002 (USA);All-Star Baseball 2002 (USA);Sony PlayStation 2;;2001;Acclaim Studios Austin;Sports/Baseball;;;;;0;;;;;
All-Star Baseball 2003 featuring Derek Jeter (USA);All-Star Baseball 2003 featuring Derek Jeter (USA);Sony PlayStation 2;;2002;Acclaim Studios Austin;Sports/Baseball;;;;;0;;;;;
All-Star Baseball 2004 featuring Derek Jeter (USA);All-Star Baseball 2004 featuring Derek Jeter (USA);Sony PlayStation 2;;2003;Acclaim Studios Austin;Sports/Baseball;;;;;0;;;;;
All-Star Baseball 2005 featuring Derek Jeter (USA);All-Star Baseball 2005 featuring Derek Jeter (USA);Sony PlayStation 2;;2004;Acclaim;Sports/Baseball;;;;;0;;;;;
Alone in the Dark (USA);Alone in the Dark (USA);Sony PlayStation 2;;2008;Hydravision;Adventure;;;;;0;;;;;
Alone in the Dark - The New Nightmare (Europe);Alone in the Dark - The New Nightmare (Europe);Sony PlayStation 2;;2001;Darkworks;Adventure;;;;;0;;;;;
Alpine Racer 3 (Europe);Alpine Racer 3 (Europe);Sony PlayStation 2;;2002;Namco;Sports/Skiing;;;;;0;;;;;
