#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Barbie Super Model (USA);Barbie Super Model (USA);Sega Mega Drive;;;;;;;;;;;;;;
Barbie Vacation Adventure (USA) (Proto);Barbie Vacation Adventure (USA) (Proto);Sega Mega Drive;;;;;;;;;;;;;;
Bare Knuckle III (Japan) (Translated En);Bare Knuckle III (Japan) (Translated En);Sega Mega Drive;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA, Europe);Barkley Shut Up and Jam! (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Barkley Shut Up and Jam! 2 (USA);Barkley Shut Up and Jam! 2 (USA);Sega Mega Drive;;;;;;;;;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game (USA);Sega Mega Drive;;;;;;;;;;;;;;
Barver Battle Saga - Tai Kong Zhan Shi (China) (Unl) (Translated En);Barver Battle Saga - Tai Kong Zhan Shi (China) (Unl) (Translated En);Sega Mega Drive;;;;;;;;;;;;;;
Bass Masters Classic (USA);Bass Masters Classic (USA);Sega Mega Drive;;;;;;;;;;;;;;
Bass Masters Classic - Pro Edition (USA);Bass Masters Classic - Pro Edition (USA);Sega Mega Drive;;;;;;;;;;;;;;
Batman (USA);Batman (USA);Sega Mega Drive;;;;;;;;;;;;;;
Batman - Revenge of the Joker (USA);Batman - Revenge of the Joker (USA);Sega Mega Drive;;;;;;;;;;;;;;
Batman Forever (World);Batman Forever (World);Sega Mega Drive;;;;;;;;;;;;;;
Batman Returns (World);Batman Returns (World);Sega Mega Drive;;;;;;;;;;;;;;
Battle Mania Daiginjou (Japan, Korea) (Translated En);Battle Mania Daiginjou (Japan, Korea) (Translated En);Sega Mega Drive;;;;;;;;;;;;;;
Battle Squadron (USA, Europe);Battle Squadron (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Battle of Red Cliffs, The (China) (Unl);Battle of Red Cliffs, The (China) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech - A Game of Armored Combat (USA);Sega Mega Drive;;;;;;;;;;;;;;
Battlemaster (USA);Battlemaster (USA);Sega Mega Drive;;;;;;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Sega Mega Drive;;;;;;;;;;;;;;
Battletoads (World);Battletoads (World);Sega Mega Drive;;;;;;;;;;;;;;
Beast Ball (USA) (Proto);Beast Ball (USA) (Proto);Sega Mega Drive;;;;;;;;;;;;;;
Beast Wrestler (USA);Beast Wrestler (USA);Sega Mega Drive;;;;;;;;;;;;;;
Beauty and the Beast - Belle's Quest (USA);Beauty and the Beast - Belle's Quest (USA);Sega Mega Drive;;;;;;;;;;;;;;
Beauty and the Beast - Roar of the Beast (USA);Beauty and the Beast - Roar of the Beast (USA);Sega Mega Drive;;;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Sega Mega Drive;;;;;;;;;;;;;;
Beggar Prince (World) (Unl);Beggar Prince (World) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
Berenstain Bears' Camping Adventure, The (USA);Berenstain Bears' Camping Adventure, The (USA);Sega Mega Drive;;;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Sega Mega Drive;;;;;;;;;;;;;;
Beyond Oasis (USA);Beyond Oasis (USA);Sega Mega Drive;;;;;;;;;;;;;;
Bible Adventures (USA) (Unl);Bible Adventures (USA) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
Bill Walsh College Football (USA, Europe);Bill Walsh College Football (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Bill Walsh College Football 95 (USA);Bill Walsh College Football 95 (USA);Sega Mega Drive;;;;;;;;;;;;;;
Bill's Tomato Game (USA) (Proto);Bill's Tomato Game (USA) (Proto);Sega Mega Drive;;;;;;;;;;;;;;
Bimini Run (USA);Bimini Run (USA);Sega Mega Drive;;;;;;;;;;;;;;
Bio Hazard Battle (USA, Europe);Bio Hazard Battle (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Sega Mega Drive;;;;;;;;;;;;;;
Blades of Vengeance (USA, Europe);Blades of Vengeance (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Blaster Master 2 (USA);Blaster Master 2 (USA);Sega Mega Drive;;;;;;;;;;;;;;
Blockbuster World Video Game Championship II (USA);Blockbuster World Video Game Championship II (USA);Sega Mega Drive;;;;;;;;;;;;;;
Blockout (World);Blockout (World);Sega Mega Drive;;;;;;;;;;;;;;
Bloodshot (Europe);Bloodshot (Europe);Sega Mega Drive;;;;;;;;;;;;;;
Body Count (Europe);Body Count (Europe);Sega Mega Drive;;;;;;;;;;;;;;
Bomboy (China) (Unl);Bomboy (China) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
Bonanza Brothers (USA, Korea);Bonanza Brothers (USA, Korea);Sega Mega Drive;;;;;;;;;;;;;;
