#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ex-Ranza (Japan);Ex-Ranza (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
F1 Circus MD (Japan);F1 Circus MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
F1 Hero MD (Japan);F1 Hero MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fastest 1 (Japan);Fastest 1 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fatman (Japan);Fatman (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Final Blow (Japan);Final Blow (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fire Mustang (Japan);Fire Mustang (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fire Pro Wrestling Gaiden (J) [c][!];Fire Pro Wrestling Gaiden (J) [c][!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Flintstone (Japan);Flintstone (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fushigi no Umi no Nadia (Japan);Fushigi no Umi no Nadia (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong Doujou (Japan);Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong Doujou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Game no Kanzume Otokuyou (Japan);Game no Kanzume Otokuyou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet (Japan);Gauntlet (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet (Japan) (En,Ja);Gauntlet (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet IV (Japan) (En,Ja);Gauntlet IV (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gley Lancer (J);Gley Lancer (J);Sega Mega Drive Japan;;;;;;;;;;;;;;
Golden Axe III (Japan);Golden Axe III (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gunstar Heroes (Japan);Gunstar Heroes (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Heavy Unit - Mega Drive Special (Japan);Heavy Unit - Mega Drive Special (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
High School Soccer - Kunio Kun (J) [!];High School Soccer - Kunio Kun (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Hokuto no Ken (Japan);Hokuto no Ken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Honoo no Toukyuuji Dodge Danpei (Japan);Honoo no Toukyuuji Dodge Danpei (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hybrid Front, The (Japan);Hybrid Front, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyokkori Hyoutanjima (Japan);Hyokkori Hyoutanjima (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyper Marbles (SN) (Japan);Hyper Marbles (SN) (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
I Love Mickey & Donald - Fushigi na Magic Box (Japan);I Love Mickey & Donald - Fushigi na Magic Box (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (Japan);I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ichidant R (Japan);Ichidant R (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
J. League Champion Soccer (Japan);J. League Champion Soccer (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
J. League Pro Striker (Japan);J. League Pro Striker (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
J. League Pro Striker - Perfect Edition (Japan);J. League Pro Striker - Perfect Edition (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
J. League Pro Striker 2 (Japan);J. League Pro Striker 2 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
J. League Pro Striker Final Stage (Japan);J. League Pro Striker Final Stage (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Janou Touryumon (Japan);Janou Touryumon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Jantei Monogatari (Japan);Jantei Monogatari (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
JuJu Densetsu (Japan);JuJu Densetsu (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Jurassic Park (Japan);Jurassic Park (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Juu-Ou-Ki (Japan);Juu-Ou-Ki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Juuouki (Japan);Juuouki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kick Boxing, The (Japan);Kick Boxing, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Killing Game Show, The (Japan);Killing Game Show, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kishi Densetsu (Japan);Kishi Densetsu (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
